transaction_id,merchant_code,merchant_name,customer_code,amount,transaction_date,category,segment,payment_method
TXN001,MERCH001,Coffee Central,CUST001,4.50,2024-12-01 08:30:00,Food & Beverage,premium,credit
TXN002,MERCH002,Tech Store Pro,CUST002,299.99,2024-12-01 10:15:00,Electronics,standard,debit
TXN003,MERCH003,Fashion Hub,CUST003,89.50,2024-12-01 12:00:00,Retail,premium,credit
TXN004,MERCH001,Coffee Central,CUST004,6.75,2024-12-01 14:20:00,Food & Beverage,basic,digital_wallet
TXN005,MERCH004,Grocery Mart,CUST005,156.32,2024-12-01 16:45:00,Grocery,standard,bank_transfer
TXN006,MERCH002,Tech Store Pro,CUST001,49.99,2024-12-02 09:00:00,Electronics,premium,credit
TXN007,MERCH005,Fitness First,CUST006,45.00,2024-12-02 11:30:00,Health & Fitness,premium,credit
TXN008,MERCH003,Fashion Hub,CUST007,234.00,2024-12-02 13:15:00,Retail,standard,debit
TXN009,MERCH006,Book Nook,CUST008,28.50,2024-12-02 15:00:00,Entertainment,basic,credit
TXN010,MERCH001,Coffee Central,CUST002,5.25,2024-12-02 17:30:00,Food & Beverage,standard,digital_wallet
TXN011,MERCH007,Auto Parts Plus,CUST009,189.99,2024-12-03 08:00:00,Automotive,premium,credit
TXN012,MERCH004,Grocery Mart,CUST010,67.45,2024-12-03 10:30:00,Grocery,standard,debit
TXN013,MERCH008,Home Depot,CUST001,345.00,2024-12-03 12:00:00,Home Improvement,premium,credit
TXN014,MERCH002,Tech Store Pro,CUST003,899.00,2024-12-03 14:30:00,Electronics,premium,credit
TXN015,MERCH009,Pet Paradise,CUST011,56.78,2024-12-03 16:00:00,Pet Supplies,basic,debit
TXN016,MERCH005,Fitness First,CUST012,120.00,2024-12-04 07:30:00,Health & Fitness,premium,credit
TXN017,MERCH001,Coffee Central,CUST013,7.50,2024-12-04 09:15:00,Food & Beverage,standard,digital_wallet
TXN018,MERCH010,Luxury Goods,CUST014,2500.00,2024-12-04 11:00:00,Luxury,premium,credit
TXN019,MERCH003,Fashion Hub,CUST015,145.00,2024-12-04 13:30:00,Retail,standard,credit
TXN020,MERCH004,Grocery Mart,CUST001,89.23,2024-12-04 15:45:00,Grocery,premium,bank_transfer
TXN021,MERCH011,Travel Agency,CUST016,1250.00,2024-12-05 09:00:00,Travel,premium,credit
TXN022,MERCH006,Book Nook,CUST017,34.99,2024-12-05 10:30:00,Entertainment,basic,debit
TXN023,MERCH012,Restaurant Elite,CUST018,178.50,2024-12-05 12:15:00,Food & Beverage,premium,credit
TXN024,MERCH002,Tech Store Pro,CUST019,1299.00,2024-12-05 14:00:00,Electronics,premium,credit
TXN025,MERCH001,Coffee Central,CUST020,4.25,2024-12-05 16:30:00,Food & Beverage,basic,digital_wallet
